Time,X_L,Y_L,Z_L,VX_L,VY_L,VZ_L,FX_L,FY_L,FZ_L,X_R,Y_R,Z_R,VX_R,VY_R,VZ_R,FX_R,FY_R,FZ_R,Frequency
2026-02-19 16:10:54.669,-0.11885364353656769,-0.4776698350906372,-0.24854326248168945,-0.00011932163761230186,0.0002900460094679147,-0.00028531672433018684,0,0,0,0.15866123139858246,-0.5239669680595398,-0.19897836446762085,0.3728547692298889,-0.08606425672769547,0.14484210312366486,0,0,0,7
2026-02-19 16:10:54.749,-0.11882788687944412,-0.4776661694049835,-0.2485664188861847,0.000621373241301626,0.0005599964642897248,-0.0008351486176252365,0,0,0,0.1896897405385971,-0.5297219157218933,-0.18631099164485931,0.3930192291736603,-0.06469697505235672,0.16485224664211273,0,0,0,7
2026-02-19 16:10:54.828,-0.11891812831163406,-0.47766149044036865,-0.24856261909008026,-0.0005230845999903977,-3.522801125654951E-05,0.00014517526142299175,0,0,0,0.22745421528816223,-0.5331723690032959,-0.1712953895330429,0.3962719142436981,-0.020667823031544685,0.1476854830980301,0,0,0,7
2026-02-19 16:10:54.898,-0.11889669299125671,-0.4776620864868164,-0.24857071042060852,0.00035924502299167216,-0.00032845986424945295,0.00034317668178118765,0,0,0,0.24427790939807892,-0.5342006683349609,-0.16364853084087372,0.3506373465061188,-0.02246408350765705,0.16332411766052246,0,0,0,7
2026-02-19 16:10:54.986,-0.11892689764499664,-0.47769400477409363,-0.24851952493190765,0.0008469623862765729,-0.00045538763515651226,0.0005851914174854755,0,0,0,0.27321407198905945,-0.5356117486953735,-0.14828121662139893,0.21453794836997986,-0.011311502195894718,0.13202133774757385,0,0,0,7
2026-02-19 16:10:55.065,-0.11889747530221939,-0.4776920974254608,-0.24851304292678833,-0.00022457378508988768,-0.00021869695046916604,0.0005756064201705158,0,0,0,0.2849157154560089,-0.536307156085968,-0.13958705961704254,0.12205770611763,-0.006892230827361345,0.09517122805118561,0,0,0,6
2026-02-19 16:10:55.144,-0.11887330561876297,-0.4776814877986908,-0.24852535128593445,0.0003816099197138101,-8.887850708561018E-05,0.00033901401911862195,0,0,0,0.2898563742637634,-0.5369804501533508,-0.13496257364749908,0.06702320277690887,-0.010843275114893913,0.06444023549556732,0,0,0,6
2026-02-19 16:10:55.207,-0.11886945366859436,-0.47767916321754456,-0.24853761494159698,-0.00037331797648221254,-0.0001357299624942243,2.336894249310717E-05,0,0,0,0.2925358712673187,-0.5374569296836853,-0.1323847621679306,0.036211129277944565,-0.006547210272401571,0.035505179315805435,0,0,0,6
2026-02-19 16:10:55.295,-0.11885755509138107,-0.4777010679244995,-0.24851489067077637,-0.00024983525509014726,5.65758855373133E-05,-0.00029997018282301724,0,0,0,0.2920641601085663,-0.5384061932563782,-0.13106366991996765,-0.030304858461022377,-0.01222157571464777,-0.004080772399902344,0,0,0,6
2026-02-19 16:10:55.374,-0.11889149993658066,-0.477666974067688,-0.24855834245681763,-0.0009292020695284009,0.00037000668817199767,-0.0006042271270416677,0,0,0,0.28363749384880066,-0.5400354862213135,-0.13532426953315735,-0.1517598181962967,-0.026123015210032463,-0.08158364146947861,0,0,0,6
2026-02-19 16:10:55.454,-0.11889376491308212,-0.47768720984458923,-0.24852260947227478,-0.0003720952954608947,0.00019041643827222288,2.1259644199744798E-05,0,0,0,0.26229342818260193,-0.5425434708595276,-0.1494588553905487,-0.31701862812042236,-0.031589191406965256,-0.223367378115654,0,0,0,6
2026-02-19 16:10:55.526,-0.1188778355717659,-0.47770896553993225,-0.24849019944667816,0.0005880646640434861,0.0005047906306572258,-0.0007862940547056496,0,0,0,0.22557471692562103,-0.5431843996047974,-0.17800797522068024,-0.4626641571521759,0.010125239379703999,-0.36904552578926086,0,0,0,6
2026-02-19 16:10:55.606,-0.11885720491409302,-0.47770386934280396,-0.24850444495677948,-6.340374238789082E-05,-0.00020275480346754193,7.009439286775887E-05,0,0,0,0.18713697791099548,-0.5381085276603699,-0.2126617133617401,-0.46536365151405334,0.0848216861486435,-0.4466635584831238,0,0,0,6
